,qual_pos,driver,qual_time,race_num,year
530,28,   David Starr,   ,13,2018
531,30,   Matt Mills,   ,13,2018
532,32,   Vinnie Miller,   ,13,2018
533,34,   Spencer Boyd,   ,13,2018
534,36,   Chad Finchum,   ,13,2018
535,38,   B.J. McLeod,   ,13,2018
536,40,   Kaz Grala,   ,13,2018
537,1,   Austin Cindric,23.971   ,14,2018
538,3,   Brandon Jones,24.076   ,14,2018
539,5,   Cole Custer,24.150   ,14,2018
540,7,   Tyler Reddick,24.236   ,14,2018
541,9,   Riley Herbst,24.281   ,14,2018
542,11,   Justin Allgaier,24.326   ,14,2018
543,13,   Justin Haley,24.187   ,14,2018
544,15,   John Hunter Nemechek,24.201   ,14,2018
545,17,   Ty Majeski,24.229   ,14,2018
546,19,   Jeremy Clements,24.390   ,14,2018
547,21,   Ryan Sieg,24.515   ,14,2018
548,23,   David Starr,   ,14,2018
549,25,   Tommy Joe Martins,24.613   ,14,2018
550,27,   Joey Gase,24.674   ,14,2018
551,29,   Chad Finchum,24.843   ,14,2018
552,31,   J.J. Yeley,24.878   ,14,2018
553,33,   Josh Williams,25.087   ,14,2018
554,35,   Timmy Hill,25.178   ,14,2018
555,37,   Mike Harmon,25.885   ,14,2018
556,39,   Christopher Bell,   ,14,2018
557,2,   Daniel Hemric,24.048   ,14,2018
558,4,   Elliott Sadler,24.132   ,14,2018
559,6,   Ryan Truex,24.191   ,14,2018
560,8,   Kaz Grala,24.259   ,14,2018
561,10,   Michael Annett,24.309   ,14,2018
562,12,   Matt Tifft,24.364   ,14,2018
563,14,   Shane Lee,24.187   ,14,2018
564,16,   Ross Chastain,24.220   ,14,2018
565,18,   Alex Labbe,24.363   ,14,2018
566,20,   Garrett Smithley,24.500   ,14,2018
567,22,   B.J. McLeod,   ,14,2018
568,24,   Jeff Green,   ,14,2018
569,26,   Spencer Boyd,24.660   ,14,2018
570,28,   Brandon Hightower,24.829   ,14,2018
571,30,   Morgan Shepherd,24.855   ,14,2018
572,32,   Blake Jones,24.961   ,14,2018
573,34,   Josh Bilicki,25.097   ,14,2018
574,36,   Vinnie Miller,25.216   ,14,2018
575,38,   Stan Mullis,26.314   ,14,2018
576,40,   Ryan Reed,   ,14,2018
577,1,   Kyle Larson,31.071   ,15,2018
578,3,   Austin Cindric,31.151   ,15,2018
579,5,   Paul Menard,31.250   ,15,2018
