,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
78,Morgan Shepherd,38,31,40,37,0,3,3,0,0.0,0,0,0.0,0,0.0,49,25.8,2,2018,31,38,49,-7,3,-4.0,33
79,Jeff Green,40,27,40,39,-1,3,4,0,0.0,0,0,0.0,0,0.0,5,24.3,2,2018,27,40,5,-13,1,-12.0,34
80,Kyle Larson,2,1,8,2,9,17,8,17,100.0,65,200,100.0,142,71.0,200,150.0,3,2018,2,1,200,1,45,110.75,1
81,Justin Allgaier,7,1,12,5,8,38,30,36,94.7,4,200,100.0,12,6.0,200,115.2,3,2018,12,3,200,9,41,54.8,3
82,Elliott Sadler,5,3,16,6,-3,24,27,22,91.7,0,199,99.5,0,0.0,200,103.8,3,2018,6,5,200,1,39,40.0,6
83,Brandon Jones,6,4,23,10,22,63,41,58,92.1,6,188,94.0,0,0.0,200,96.1,3,2018,16,7,200,9,37,48.7,5
84,Cole Custer,4,1,13,5,-11,33,44,33,100.0,13,200,100.0,4,2.0,200,107.2,3,2018,4,9,200,-5,35,36.85,8
85,Matt Tifft,10,9,23,13,0,47,47,38,80.9,0,186,93.0,0,0.0,200,86.3,3,2018,9,11,200,-2,32,30.0,14
86,Michael Annett,13,9,22,14,-1,44,45,27,61.4,1,141,70.5,0,0.0,200,81.8,3,2018,19,13,200,6,30,36.45,9
87,Ryan Truex,17,13,23,17,-2,54,56,22,40.7,0,58,29.0,0,0.0,200,75.3,3,2018,17,15,200,2,28,30.0,14
88,Alex Labbe,20,12,24,20,-1,18,19,0,0.0,0,3,1.5,0,0.0,200,67.3,3,2018,24,17,200,7,26,33.0,12
89,Ryan Reed,16,10,20,15,3,48,45,35,72.9,0,121,60.5,0,0.0,199,76.0,3,2018,13,19,199,-6,24,18.0,23
90,Josh Williams,28,21,29,25,7,18,11,0,0.0,0,0,0.0,0,0.0,197,58.9,3,2018,29,21,197,8,21,29.0,15
91,Garrett Smithley,22,15,26,23,-3,5,8,0,0.0,0,1,0.5,0,0.0,196,59.7,3,2018,26,23,196,3,19,22.0,20
92,Tommy Joe Martins,26,24,33,27,6,26,20,0,0.0,0,0,0.0,0,0.0,195,49.8,3,2018,33,25,195,8,17,25.0,18
93,Matt Mills,30,26,39,29,-7,20,27,0,0.0,0,0,0.0,0,0.0,194,45.7,3,2018,27,27,194,0,15,15.0,25
94,Ryan Sieg,19,15,23,19,-5,35,40,1,2.9,0,2,1.0,0,0.0,185,62.3,3,2018,21,29,185,-8,13,5.0,28
95,Mike Harmon,34,31,40,34,3,15,12,0,0.0,0,0,0.0,0,0.0,183,32.1,3,2018,38,31,183,7,10,17.0,24
96,Timmy Hill,31,25,36,32,-4,15,19,0,0.0,0,0,0.0,0,0.0,134,40.2,3,2018,25,33,134,-8,8,0.0,30
97,David Starr,35,25,35,32,-6,17,23,0,0.0,0,0,0.0,0,0.0,78,39.3,3,2018,35,35,78,0,6,6.0,27
98,Morgan Shepherd,37,32,40,36,-9,9,18,0,0.0,0,0,0.0,0,0.0,24,30.0,3,2018,36,37,24,-1,4,3.0,29
99,Jeff Green,39,29,33,37,-2,11,13,0,0.0,0,0,0.0,0,0.0,15,29.3,3,2018,32,39,15,-7,2,-5.0,31
100,Christopher Bell,3,1,9,4,0,26,26,26,100.0,20,200,100.0,6,3.0,200,119.6,3,2018,1,2,200,-1,42,51.5,4
101,Ryan Blaney,1,1,8,3,2,20,18,20,100.0,31,200,100.0,33,16.5,200,124.1,3,2018,8,4,200,4,40,66.2,2
102,Daniel Hemric,8,3,10,7,1,27,26,27,100.0,2,200,100.0,0,0.0,200,98.6,3,2018,3,6,200,-3,38,35.9,10
103,Tyler Reddick,11,1,11,6,-6,31,37,31,100.0,5,200,100.0,3,1.5,200,101.9,3,2018,7,8,200,-1,36,38.0,7
104,Spencer Gallagher,18,8,19,15,2,49,47,33,67.4,0,112,56.0,0,0.0,200,81.7,3,2018,11,10,200,1,34,35.0,11
105,Austin Dillon,15,8,16,12,-6,45,51,44,97.8,0,187,93.5,0,0.0,200,88.2,3,2018,10,12,200,-2,31,29.0,15
106,Kyle Busch,9,2,20,9,-4,31,35,26,83.9,17,171,85.5,0,0.0,200,96.3,3,2018,5,14,200,-9,29,27.65,16
107,Kaz Grala,14,10,23,17,0,42,42,19,45.2,0,51,25.5,0,0.0,200,73.0,3,2018,18,16,200,2,27,29.0,15
108,Ross Chastain,21,11,22,17,2,41,39,20,48.8,0,46,23.0,0,0.0,199,70.9,3,2018,14,18,199,-4,25,21.0,21
109,Joey Gase,23,13,25,21,-6,11,17,0,0.0,0,4,2.0,0,0.0,197,63.2,3,2018,23,20,197,3,23,26.0,17
110,Jeremy Clements,24,18,36,26,-4,27,31,0,0.0,2,0,0.0,0,0.0,196,57.8,3,2018,20,22,196,-2,20,18.9,22
111,Vinnie Miller,27,23,39,26,8,27,19,0,0.0,0,0,0.0,0,0.0,196,49.3,3,2018,37,24,196,13,18,31.0,13
112,B.J. McLeod,25,23,34,25,10,14,4,0,0.0,0,0,0.0,0,0.0,195,54.3,3,2018,34,26,195,8,16,24.0,19
113,Josh Bilicki,32,28,39,32,7,22,15,0,0.0,0,0,0.0,0,0.0,189,39.8,3,2018,39,28,189,11,14,25.0,18
114,Stephen Leicht,33,30,40,33,9,21,12,0,0.0,0,0,0.0,0,0.0,185,40.0,3,2018,40,30,185,10,12,22.0,20
115,Chad Finchum,29,24,30,29,-8,13,21,0,0.0,0,0,0.0,0,0.0,140,46.8,3,2018,30,32,140,-2,9,7.0,26
116,Austin Cindric,12,9,16,19,-4,38,42,37,97.4,0,130,65.0,0,0.0,132,72.0,3,2018,15,34,132,-19,7,-12.0,33
117,Spencer Boyd,36,31,38,35,-3,8,11,0,0.0,0,0,0.0,0,0.0,70,30.3,3,2018,31,36,70,-5,5,0.0,30
118,J.J. Yeley,38,28,40,37,-1,14,15,0,0.0,0,0,0.0,0,0.0,18,28.0,3,2018,28,38,18,-10,3,-7.0,32
119,Dylan Lupton,40,19,22,38,0,4,4,0,0.0,0,0,0.0,0,0.0,5,26.7,3,2018,22,40,5,-18,1,-17.0,34
120,Brad Keselowski,3,1,26,4,23,51,28,36,70.6,37,188,94.0,66,33.0,200,128.8,4,2018,2,1,200,1,45,79.15,1
121,Kyle Busch,8,1,14,4,15,28,13,24,85.7,29,200,100.0,39,19.5,200,122.8,4,2018,5,3,200,2,41,65.8,3
122,Jamie McMurray,13,3,22,8,14,44,30,39,88.6,13,193,96.5,0,0.0,200,104.9,4,2018,6,5,200,1,39,45.85,7
123,Matt Tifft,5,4,23,8,7,41,34,31,75.6,1,187,93.5,0,0.0,200,102.4,4,2018,9,7,200,2,37,39.45,9
124,Elliott Sadler,12,3,32,14,11,61,50,26,42.6,0,139,69.5,0,0.0,199,86.3,4,2018,24,9,199,15,35,50.0,6
125,Brandon Jones,7,3,24,11,-7,41,48,29,70.7,0,171,85.5,0,0.0,199,91.0,4,2018,10,11,199,-1,32,31.0,13
126,Ty Dillon,6,3,25,12,1,46,45,27,58.7,9,170,85.0,0,0.0,199,93.7,4,2018,14,13,199,1,30,35.05,11
127,Ryan Truex,16,4,23,13,-1,33,34,17,51.5,0,176,88.0,0,0.0,199,83.0,4,2018,7,15,199,-8,28,20.0,18
128,Michael Annett,19,4,23,18,-14,50,64,17,34.0,0,35,17.5,0,0.0,199,68.2,4,2018,15,17,199,-2,26,24.0,16
129,Ross Chastain,20,2,24,18,2,43,41,17,39.5,0,37,18.5,0,0.0,199,69.5,4,2018,18,19,199,-1,24,23.0,17
