,finish_pos,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_23XI Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Joe Gibbs,owner_Matt Kaulig,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Roger Penske,owner_Stewart-Haas Racing,owner_Trackhouse Racing,owner_Wood Brothers,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2561,13.0,8.0,10.0,1.0,24.0,13.0,-7.0,125.0,132.0,80.0,3.0,205.0,4.0,80.4,28.35,0.0,10.0,1.0,24.0,13.0,-7.0,125.0,132.0,80.0,3.0,205.0,4.0,80.4,28.35,38.6,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2562,27.0,9.0,6.0,3.0,30.0,10.0,18.0,107.0,89.0,66.0,3.0,238.0,0.0,95.7,40.35,0.0,6.0,3.0,30.0,10.0,18.0,107.0,89.0,66.0,3.0,238.0,0.0,95.7,40.35,3.3,34.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2563,2.0,10.0,11.0,1.0,27.0,8.0,-15.0,84.0,99.0,54.0,28.0,235.0,47.0,107.2,42.35,0.0,11.0,1.0,27.0,8.0,-15.0,84.0,99.0,54.0,28.0,235.0,47.0,107.2,42.35,70.25,2.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2564,22.0,11.0,22.0,2.0,35.0,18.0,29.0,131.0,102.0,31.0,1.0,104.0,0.0,83.6,75.45,0.0,22.0,2.0,35.0,18.0,29.0,131.0,102.0,31.0,1.0,104.0,0.0,83.6,75.45,13.45,24.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2565,12.0,12.0,5.0,4.0,26.0,11.0,16.0,106.0,90.0,69.0,4.0,249.0,0.0,91.1,42.8,0.0,5.0,4.0,26.0,11.0,16.0,106.0,90.0,69.0,4.0,249.0,0.0,91.1,42.8,31.0,16.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2566,18.0,13.0,7.0,5.0,32.0,12.0,15.0,125.0,110.0,64.0,3.0,213.0,0.0,91.6,54.35,0.0,7.0,5.0,32.0,12.0,15.0,125.0,110.0,64.0,3.0,213.0,0.0,91.6,54.35,20.0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2567,3.0,14.0,18.0,8.0,29.0,15.0,10.0,132.0,122.0,49.0,0.0,152.0,0.0,77.5,48.0,0.0,18.0,8.0,29.0,15.0,10.0,132.0,122.0,49.0,0.0,152.0,0.0,77.5,48.0,56.05,5.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2568,9.0,15.0,13.0,1.0,28.0,14.0,-31.0,83.0,114.0,21.0,8.0,157.0,12.0,82.6,0.6,0.0,13.0,1.0,28.0,14.0,-31.0,83.0,114.0,21.0,8.0,157.0,12.0,82.6,0.6,43.2,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2569,7.0,16.0,23.0,3.0,30.0,19.0,-15.0,110.0,125.0,16.0,1.0,62.0,0.0,62.6,6.45,0.0,23.0,3.0,30.0,19.0,-15.0,110.0,125.0,16.0,1.0,62.0,0.0,62.6,6.45,48.7,8.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2570,11.0,17.0,21.0,3.0,31.0,16.0,8.0,134.0,126.0,50.0,2.0,112.0,0.0,75.8,32.9,0.0,21.0,3.0,31.0,16.0,8.0,134.0,126.0,50.0,2.0,112.0,0.0,75.8,32.9,38.45,13.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2571,14.0,18.0,2.0,1.0,24.0,10.0,-14.0,74.0,88.0,37.0,39.0,168.0,57.0,95.8,48.8,0.0,2.0,1.0,24.0,10.0,-14.0,74.0,88.0,37.0,39.0,168.0,57.0,95.8,48.8,33.0,14.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2572,15.0,19.0,26.0,7.0,31.0,25.0,-16.0,112.0,128.0,6.0,2.0,4.0,0.0,52.8,8.9,0.0,26.0,7.0,31.0,25.0,-16.0,112.0,128.0,6.0,2.0,4.0,0.0,52.8,8.9,32.0,15.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2573,25.0,20.0,19.0,4.0,28.0,14.0,-21.0,109.0,130.0,32.0,0.0,146.0,0.0,70.2,6.0,0.0,19.0,4.0,28.0,14.0,-21.0,109.0,130.0,32.0,0.0,146.0,0.0,70.2,6.0,12.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2574,23.0,21.0,15.0,10.0,32.0,18.0,8.0,152.0,144.0,40.0,0.0,108.0,0.0,66.3,41.0,0.0,15.0,10.0,32.0,18.0,8.0,152.0,144.0,40.0,0.0,108.0,0.0,66.3,41.0,17.45,20.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
