,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,owner_23XI Racing,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_BK Racing,owner_Barney Visser,owner_Beard Motorsports,owner_Bob Jenkins,owner_Bryan Smith,owner_Carl Long,owner_Gaunt Brothers Racing,owner_Germain Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Jay Robinson,owner_Joe Gibbs,owner_Leavine Family Racing,owner_Matt Kaulig,owner_Premium Motorsports,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Rick Ware Racing,owner_Ricky Benton,owner_Roger Penske,owner_Spire Motorsports,owner_StarCom Racing,owner_Stewart-Haas Racing,owner_Tommy Baldwin,owner_Trackhouse Racing,owner_Wood Brothers,car_make_Chevrolet,car_make_Ford,car_make_Toyota,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2403,2.0,17.5,4.0,31.5,17.0,-11.0,63.0,83.0,24.0,1.0,84.0,0.0,71.9,16.725,1.0,19.0,4.0,30.0,19.0,-1.6666666666666667,63.166666666666664,64.83333333333333,25.333333333333332,1.8333333333333333,81.66666666666667,1.1666666666666667,68.85000000000001,12.616666666666667,38.1,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2404,3.0,13.0,4.5,31.0,13.0,-6.0,92.0,86.5,35.5,0.5,111.0,0.0,80.25,25.5,1.0,14.166666666666666,4.666666666666667,30.833333333333332,13.166666666666666,0.3333333333333333,86.5,86.16666666666667,38.333333333333336,2.5,122.66666666666667,0.0,80.91666666666667,26.291666666666668,104.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2405,4.0,8.0,3.0,27.0,11.5,15.0,103.0,84.5,43.5,4.0,142.5,0.0,80.25,27.475,1.0,8.5,2.6666666666666665,28.166666666666668,13.166666666666666,10.0,98.33333333333333,88.33333333333333,44.333333333333336,5.833333333333333,129.5,0.8333333333333334,83.38333333333333,25.33333333333333,46.95,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2406,5.0,6.0,1.0,31.0,7.0,-12.5,65.5,82.0,32.0,22.5,162.5,18.5,120.65,54.25,1.0,7.666666666666667,1.1666666666666667,29.0,6.666666666666667,-11.333333333333334,67.0,78.33333333333333,37.833333333333336,22.833333333333332,162.5,36.166666666666664,120.14999999999999,53.31666666666666,31.45,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2407,6.0,10.0,3.5,25.5,11.0,-4.5,84.5,78.5,47.0,4.5,139.5,0.0,89.65,23.5,1.0,10.666666666666666,3.1666666666666665,24.833333333333332,12.166666666666666,-1.6666666666666667,77.0,78.66666666666667,46.666666666666664,4.166666666666667,139.5,1.3333333333333333,87.63333333333333,20.708333333333332,34.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2408,7.0,6.5,1.0,24.0,5.0,7.5,60.0,52.5,36.0,4.5,172.0,7.0,115.4,47.05,1.0,6.5,1.3333333333333333,22.5,6.0,2.3333333333333335,59.833333333333336,57.5,35.5,8.166666666666666,170.5,38.166666666666664,114.30000000000001,49.21666666666667,26.45,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2409,8.0,25.0,11.5,32.0,24.5,-0.5,62.5,62.5,3.0,1.0,4.0,0.0,50.8,26.35,1.0,23.5,10.333333333333334,32.166666666666664,23.833333333333332,-2.3333333333333335,61.833333333333336,64.16666666666667,4.5,1.3333333333333333,7.833333333333333,0.0,51.75,24.433333333333334,6.0,29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2410,9.0,4.5,1.5,26.5,11.5,13.5,103.0,81.5,38.5,10.0,136.0,0.0,92.35,37.975,1.0,6.0,1.8333333333333333,27.333333333333332,11.166666666666666,13.333333333333334,94.83333333333333,81.5,44.333333333333336,9.333333333333334,134.83333333333334,6.666666666666667,92.34999999999998,34.86666666666667,9.45,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2411,10.0,27.0,8.0,32.5,23.0,-6.5,85.5,94.5,10.0,0.5,15.5,0.0,52.75,9.225,1.0,27.833333333333332,7.333333333333333,32.166666666666664,22.5,-8.166666666666666,76.33333333333333,84.5,13.666666666666666,0.5,34.0,0.16666666666666666,55.916666666666664,7.9333333333333345,15.85,23.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2412,11.0,19.0,4.5,30.5,17.5,23.0,116.5,91.5,27.0,0.0,56.5,0.0,69.3,39.5,1.0,19.0,5.5,30.666666666666668,18.0,17.333333333333332,104.5,87.16666666666667,23.666666666666668,1.1666666666666667,53.833333333333336,0.0,67.61666666666666,37.025,22.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
