,finish_pos,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_Chip Ganassi,owner_Chris Our,owner_Fred Biagi,owner_Fury Race Cars,owner_JR Motorsports,owner_Jack Roush,owner_Jeremy Clements,owner_Jerry Brown,owner_Joe Gibbs,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Richard Childress,owner_Roger Penske,owner_SS Green Light Racing,owner_Stewart Haas Racing
1680,6.0,5.0,9.5,2.0,28.5,0.5,9.5,13.0,53.0,40.0,40.0,11.0,228.5,0.0,103.25,43.45,2.0,25.0,8.0,6.0,41.0,35.0,29.0,83.2,130.0,93.3,0.0,14.0,12.0,93.0,43.3,12.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1681,7.0,6.0,9.5,1.0,19.0,0.5,5.5,6.0,33.0,27.0,27.5,22.5,237.0,47.5,117.6,51.5,1.0,26.0,7.5,4.0,33.5,26.0,27.5,90.55,123.5,94.65,0.0,13.5,8.5,67.0,37.35,14.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1682,24.0,7.0,19.5,2.5,38.0,0.5,19.0,19.0,53.5,34.5,29.5,1.5,128.0,0.0,89.4,32.675,3.0,30.5,11.5,1.5,41.5,43.0,25.0,67.30000000000001,93.5,83.30000000000001,0.0,13.5,13.0,68.0,2.75,31.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1683,3.0,8.0,9.0,2.5,30.5,0.5,16.5,-8.0,43.0,51.0,23.0,2.0,155.5,0.0,81.55,23.400000000000002,4.0,31.0,13.0,6.5,44.5,43.0,20.5,45.1,82.0,76.55,0.0,13.5,13.0,68.0,48.25,8.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1684,2.0,9.0,7.5,1.5,25.5,0.5,6.0,8.0,42.0,34.0,32.0,17.0,231.5,25.0,110.6,38.9,1.0,25.5,5.5,5.0,35.5,26.0,25.5,76.65,113.5,94.9,23.05,13.5,6.0,125.0,85.3,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1685,1.0,10.0,18.0,1.5,30.0,0.5,15.5,0.5,47.5,47.0,27.0,16.0,155.0,19.5,94.85,29.575000000000003,1.0,25.5,6.0,11.0,42.0,32.0,27.5,78.25,112.0,94.15,5.6,13.5,8.5,52.0,60.55,5.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1686,14.0,11.0,18.5,5.0,35.5,0.5,20.5,5.5,61.5,56.0,20.5,0.0,64.5,0.0,66.35,26.0,5.0,34.0,17.5,-5.5,42.0,51.0,18.0,39.2,56.0,45.65,0.0,13.5,16.0,111.0,26.0,19.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1687,13.0,13.0,24.0,5.5,28.5,0.5,17.0,-1.5,54.5,56.0,20.0,0.0,117.0,0.0,70.1,11.5,6.0,29.5,14.0,-3.5,44.5,39.5,20.0,48.9,64.0,51.05,0.0,13.5,16.5,390.0,31.8,15.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1688,35.0,15.0,10.5,5.0,32.5,0.5,13.0,28.0,58.0,30.0,17.0,14.0,123.5,47.5,105.60000000000001,68.175,3.0,32.0,14.0,17.0,49.0,40.0,30.0,62.8,111.0,79.1,0.0,12.0,6.0,25.0,-13.1,34.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1689,5.0,16.0,16.0,1.5,30.5,0.5,13.0,3.5,47.0,43.5,20.5,5.5,127.5,8.0,87.80000000000001,42.975,2.0,31.0,12.0,11.0,46.5,38.5,25.0,64.5,70.5,75.6,0.0,13.5,15.5,195.0,50.9,7.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
