,qual_pos,driver,qual_time,race_num,year
240,31,   Ross Chastain,28.325   ,7,2018
241,33,   William Byron,28.694   ,7,2018
242,35,   Landon Cassill,30.276   ,7,2018
243,37,   Reed Sorenson,   ,7,2018
244,2,   Kevin Harvick,27.395   ,7,2018
245,4,   Ryan Blaney,27.467   ,7,2018
246,6,"   Martin Truex, Jr.",27.554   ,7,2018
247,8,   Kyle Busch,27.583   ,7,2018
248,10,   Kyle Larson,27.688   ,7,2018
249,12,   Aric Almirola,27.693   ,7,2018
250,14,   Daniel Suarez,27.719   ,7,2018
251,16,   Alex Bowman,27.729   ,7,2018
252,18,   Chris Buescher,27.758   ,7,2018
253,20,   Chase Elliott,27.789   ,7,2018
254,22,   A.J. Allmendinger,27.842   ,7,2018
255,24,   Jamie McMurray,27.873   ,7,2018
256,26,"   Ricky Stenhouse, Jr.",27.913   ,7,2018
257,28,   Kasey Kahne,28.030   ,7,2018
258,30,   Matt DiBenedetto,28.184   ,7,2018
259,32,   Gray Gaulding,28.569   ,7,2018
260,34,   Cole Whitt,28.963   ,7,2018
261,36,   Harrison Rhodes,32.729   ,7,2018
262,1,   Kyle Busch,14.895   ,8,2018
263,3,   Brad Keselowski,14.960   ,8,2018
264,5,   Ryan Blaney,14.969   ,8,2018
265,7,   Paul Menard,14.993   ,8,2018
266,9,   Michael McDowell,15.029   ,8,2018
267,11,   William Byron,15.053   ,8,2018
268,13,   Erik Jones,15.071   ,8,2018
269,15,   Kasey Kahne,15.095   ,8,2018
270,17,   Jimmie Johnson,15.112   ,8,2018
271,19,   Aric Almirola,15.144   ,8,2018
272,21,   Austin Dillon,15.181   ,8,2018
273,23,   David Ragan,15.204   ,8,2018
274,25,   Denny Hamlin,15.256   ,8,2018
275,27,   Ross Chastain,15.320   ,8,2018
276,29,   Landon Cassill,15.360   ,8,2018
277,31,   Jamie McMurray,15.410   ,8,2018
278,33,   Trevor Bayne,15.499   ,8,2018
279,35,   D.J. Kennington,15.807   ,8,2018
280,37,   Harrison Rhodes,16.253   ,8,2018
281,39,   Kevin Harvick,   ,8,2018
282,2,   Kurt Busch,14.897   ,8,2018
283,4,"   Ricky Stenhouse, Jr.",14.961   ,8,2018
284,6,   Kyle Larson,14.985   ,8,2018
285,8,   Alex Bowman,15.010   ,8,2018
286,10,   Joey Logano,15.041   ,8,2018
287,12,   Daniel Suarez,15.153   ,8,2018
288,14,   Clint Bowyer,15.086   ,8,2018
289,16,   Chase Elliott,15.105   ,8,2018
290,18,   A.J. Allmendinger,15.136   ,8,2018
291,20,   Bubba Wallace,15.178   ,8,2018
292,22,   Chris Buescher,15.196   ,8,2018
293,24,   Matt DiBenedetto,15.285   ,8,2018
294,26,"   Martin Truex, Jr.",15.257   ,8,2018
295,28,   Gray Gaulding,15.358   ,8,2018
296,30,   Ryan Newman,15.383   ,8,2018
297,32,   Ty Dillon,15.477   ,8,2018
298,34,   Corey LaJoie,15.755   ,8,2018
299,36,   Reed Sorenson,15.810   ,8,2018
300,38,   Chad Finchum,16.735   ,8,2018
301,1,"   Martin Truex, Jr.",21.799   ,9,2018
302,3,   Joey Logano,21.848   ,9,2018
303,5,   Kyle Larson,21.912   ,9,2018
304,7,   Erik Jones,21.974   ,9,2018
305,9,   William Byron,21.985   ,9,2018
306,11,   Alex Bowman,21.999   ,9,2018
307,13,   Ryan Blaney,21.940   ,9,2018
308,15,   David Ragan,21.978   ,9,2018
309,17,   Jimmie Johnson,21.990   ,9,2018
310,19,   Chris Buescher,22.034   ,9,2018
311,21,   Trevor Bayne,22.052   ,9,2018
312,23,   Austin Dillon,22.067   ,9,2018
313,25,   Aric Almirola,21.957   ,9,2018
314,27,   Matt DiBenedetto,21.992   ,9,2018
315,29,   Kasey Kahne,22.007   ,9,2018
316,31,   Ty Dillon,22.063   ,9,2018
317,33,   A.J. Allmendinger,22.083   ,9,2018
318,35,   Cole Whitt,22.236   ,9,2018
319,37,   Reed Sorenson,22.548   ,9,2018
320,2,   Chase Elliott,21.841   ,9,2018
321,4,   Denny Hamlin,21.855   ,9,2018
322,6,   Kurt Busch,21.969   ,9,2018
323,8,   Jamie McMurray,21.982   ,9,2018
324,10,   Kevin Harvick,21.986   ,9,2018
325,12,"   Ricky Stenhouse, Jr.",22.059   ,9,2018
326,14,   Ryan Newman,21.978   ,9,2018
327,16,   Clint Bowyer,21.979   ,9,2018
328,18,   Bubba Wallace,21.991   ,9,2018
329,20,   Paul Menard,22.039   ,9,2018
330,22,   Daniel Hemric,22.061   ,9,2018
331,24,   Michael McDowell,22.091   ,9,2018
332,26,   Daniel Suarez,21.963   ,9,2018
333,28,   Brad Keselowski,22.001   ,9,2018
334,30,   Ross Chastain,22.015   ,9,2018
335,32,   Kyle Busch,22.069   ,9,2018
336,34,   Gray Gaulding,22.194   ,9,2018
337,36,   Landon Cassill,22.314   ,9,2018
338,38,   Harrison Rhodes,22.555   ,9,2018
339,1,   Kevin Harvick,49.247   ,10,2018
340,3,"   Martin Truex, Jr.",49.482   ,10,2018
341,5,   Chase Elliott,49.680   ,10,2018
342,7,"   Ricky Stenhouse, Jr.",49.900   ,10,2018
343,9,   Joey Logano,49.968   ,10,2018
344,11,   Alex Bowman,50.071   ,10,2018
345,13,   Paul Menard,50.009   ,10,2018
346,15,   Bubba Wallace,50.054   ,10,2018
347,17,   William Byron,50.087   ,10,2018
348,19,   Kyle Busch,50.109   ,10,2018
349,21,   Trevor Bayne,50.140   ,10,2018
350,23,   Ryan Blaney,50.269   ,10,2018
351,25,   Chris Buescher,50.454   ,10,2018
352,27,   Jamie McMurray,50.474   ,10,2018
353,29,   Ty Dillon,50.762   ,10,2018
354,31,   D.J. Kennington,51.145   ,10,2018
355,33,   Matt DiBenedetto,51.319   ,10,2018
356,35,   Ross Chastain,51.564   ,10,2018
357,37,   Gray Gaulding,52.102   ,10,2018
358,39,   Timmy Hill,52.647   ,10,2018
359,2,   Kurt Busch,49.340   ,10,2018
360,4,   Denny Hamlin,49.633   ,10,2018
361,6,   Erik Jones,49.686   ,10,2018
362,8,   Clint Bowyer,49.947   ,10,2018
363,10,   Brad Keselowski,50.046   ,10,2018
364,12,   David Ragan,50.113   ,10,2018
365,14,   Daniel Suarez,50.011   ,10,2018
366,16,   Jimmie Johnson,50.068   ,10,2018
367,18,   Ryan Newman,50.107   ,10,2018
368,20,   Michael McDowell,50.138   ,10,2018
369,22,   Kyle Larson,50.151   ,10,2018
370,24,   Austin Dillon,50.363   ,10,2018
371,26,   Kasey Kahne,50.462   ,10,2018
372,28,   A.J. Allmendinger,50.476   ,10,2018
373,30,   Brendan Gaughan,50.766   ,10,2018
374,32,   Timothy Peters,51.190   ,10,2018
375,34,   Joey Gase,51.484   ,10,2018
376,36,   Cole Whitt,51.710   ,10,2018
377,38,   Reed Sorenson,52.372   ,10,2018
378,40,   Aric Almirola,54.604   ,10,2018
379,1,   Kyle Larson,22.770   ,11,2018
380,3,"   Martin Truex, Jr.",22.867   ,11,2018
381,5,"   Ricky Stenhouse, Jr.",22.929   ,11,2018
382,7,   Daniel Suarez,22.997   ,11,2018
383,9,   Kurt Busch,23.035   ,11,2018
384,11,   Erik Jones,23.092   ,11,2018
385,13,   Aric Almirola,23.096   ,11,2018
386,15,   Alex Bowman,23.128   ,11,2018
387,17,   William Byron,23.179   ,11,2018
388,19,   Jimmie Johnson,23.193   ,11,2018
389,21,   Ryan Newman,23.222   ,11,2018
390,23,   Jamie McMurray,23.301   ,11,2018
391,25,   Kasey Kahne,23.306   ,11,2018
392,27,   Austin Dillon,23.360   ,11,2018
393,29,   Michael McDowell,23.384   ,11,2018
394,31,   Ross Chastain,23.502   ,11,2018
395,33,   Landon Cassill,23.649   ,11,2018
396,35,   Gray Gaulding,24.048   ,11,2018
397,37,   Cody Ware,25.442   ,11,2018
398,2,   Kevin Harvick,22.858   ,11,2018
399,4,   Kyle Busch,22.897   ,11,2018
400,6,   Chase Elliott,22.969   ,11,2018
401,8,   Brad Keselowski,23.011   ,11,2018
402,10,   Denny Hamlin,23.078   ,11,2018
403,12,   Clint Bowyer,23.121   ,11,2018
404,14,   Ryan Blaney,23.115   ,11,2018
405,16,   Chris Buescher,23.149   ,11,2018
406,18,   Joey Logano,23.181   ,11,2018
407,20,   Paul Menard,23.201   ,11,2018
408,22,   Trevor Bayne,23.274   ,11,2018
409,24,   Matt DiBenedetto,23.495   ,11,2018
410,26,   Bubba Wallace,23.345   ,11,2018
411,28,   A.J. Allmendinger,23.375   ,11,2018
412,30,   Ty Dillon,23.459   ,11,2018
413,32,   David Ragan,23.593   ,11,2018
414,34,   Reed Sorenson,24.026   ,11,2018
415,36,   Derrike Cope,24.884   ,11,2018
416,38,   Corey LaJoie,   ,11,2018
417,1,   Kevin Harvick,28.600   ,12,2018
418,3,   Kyle Busch,28.792   ,12,2018
419,5,   Brad Keselowski,28.916   ,12,2018
420,7,"   Martin Truex, Jr.",29.001   ,12,2018
421,9,   Joey Logano,29.048   ,12,2018
422,11,   Paul Menard,29.115   ,12,2018
423,13,   William Byron,29.051   ,12,2018
424,15,   Ryan Newman,29.094   ,12,2018
425,17,   Chase Elliott,29.173   ,12,2018
426,19,   Alex Bowman,29.311   ,12,2018
427,21,   Bubba Wallace,29.367   ,12,2018
428,23,   Jimmie Johnson,   ,12,2018
429,25,   Austin Dillon,29.214   ,12,2018
430,27,   Corey LaJoie,29.943   ,12,2018
431,29,   Gray Gaulding,30.035   ,12,2018
432,31,   Landon Cassill,30.216   ,12,2018
433,33,   Clint Bowyer,   ,12,2018
434,35,   Matt Kenseth,   ,12,2018
435,37,   Matt DiBenedetto,   ,12,2018
436,2,   Ryan Blaney,28.750   ,12,2018
437,4,   Aric Almirola,28.811   ,12,2018
438,6,   Denny Hamlin,28.963   ,12,2018
439,8,   Kurt Busch,29.002   ,12,2018
440,10,   Chris Buescher,29.080   ,12,2018
441,12,   Erik Jones,29.169   ,12,2018
442,14,   Daniel Suarez,29.090   ,12,2018
443,16,"   Ricky Stenhouse, Jr.",29.101   ,12,2018
444,18,   A.J. Allmendinger,29.281   ,12,2018
445,20,   David Ragan,29.321   ,12,2018
446,22,   Kyle Larson,   ,12,2018
447,24,   Jamie McMurray,   ,12,2018
448,26,   Ty Dillon,29.558   ,12,2018
449,28,   Ross Chastain,30.031   ,12,2018
450,30,   Reed Sorenson,30.181   ,12,2018
451,32,   B.J. McLeod,30.623   ,12,2018
452,34,   Kasey Kahne,   ,12,2018
453,36,   Michael McDowell,   ,12,2018
454,38,   Timmy Hill,   ,12,2018
455,1,   Kyle Busch,28.149   ,13,2018
456,3,   Denny Hamlin,28.265   ,13,2018
457,5,   Brad Keselowski,28.338   ,13,2018
458,7,   Jamie McMurray,28.430   ,13,2018
459,9,   Aric Almirola,28.465   ,13,2018
460,11,   Kyle Larson,28.580   ,13,2018
461,13,"   Ricky Stenhouse, Jr.",28.595   ,13,2018
462,15,"   Martin Truex, Jr.",28.620   ,13,2018
463,17,   Matt Kenseth,28.726   ,13,2018
464,19,   David Ragan,28.796   ,13,2018
465,21,   William Byron,28.835   ,13,2018
466,23,   Jimmie Johnson,28.935   ,13,2018
467,25,   Ross Chastain,28.781   ,13,2018
468,27,   Alex Bowman,28.801   ,13,2018
469,29,   Michael McDowell,28.894   ,13,2018
470,31,   Matt DiBenedetto,29.025   ,13,2018
471,33,   Corey LaJoie,29.484   ,13,2018
472,35,   Landon Cassill,29.513   ,13,2018
473,37,   Jeffrey Earnhardt,30.172   ,13,2018
474,39,   Kevin Harvick,   ,13,2018
475,2,   Joey Logano,28.240   ,13,2018
476,4,   Erik Jones,28.288   ,13,2018
477,6,   Ryan Newman,28.391   ,13,2018
478,8,   Ryan Blaney,28.437   ,13,2018
479,10,   Daniel Suarez,28.465   ,13,2018
480,12,   Austin Dillon,28.712   ,13,2018
481,14,   Paul Menard,28.601   ,13,2018
482,16,   Kurt Busch,28.668   ,13,2018
483,18,   Chris Buescher,28.738   ,13,2018
484,20,   Ty Dillon,28.815   ,13,2018
485,22,   Chase Elliott,28.860   ,13,2018
486,24,   Bubba Wallace,29.061   ,13,2018
487,26,   Kasey Kahne,28.787   ,13,2018
488,28,   Clint Bowyer,28.834   ,13,2018
489,30,   A.J. Allmendinger,28.921   ,13,2018
490,32,   Parker Kligerman,29.173   ,13,2018
491,34,   Gray Gaulding,29.486   ,13,2018
492,36,   Timmy Hill,29.963   ,13,2018
493,38,   B.J. McLeod,30.383   ,13,2018
494,40,   J.J. Yeley,   ,13,2018
495,1,   Ryan Blaney,50.877   ,14,2018
496,3,   Jamie McMurray,50.955   ,14,2018
497,5,   Kyle Busch,50.998   ,14,2018
498,7,   Joey Logano,51.083   ,14,2018
499,9,   Clint Bowyer,51.195   ,14,2018
500,11,   Chase Elliott,51.361   ,14,2018
501,13,   Kyle Larson,51.524   ,14,2018
502,15,   Jimmie Johnson,51.616   ,14,2018
503,17,   Brad Keselowski,51.661   ,14,2018
504,19,   Bubba Wallace,51.811   ,14,2018
505,21,   David Ragan,51.934   ,14,2018
506,23,"   Ricky Stenhouse, Jr.",52.182   ,14,2018
507,25,   Erik Jones,52.081   ,14,2018
508,27,   Chris Buescher,52.187   ,14,2018
509,29,   Ty Dillon,52.658   ,14,2018
510,31,   Ross Chastain,52.908   ,14,2018
511,33,   Landon Cassill,53.477   ,14,2018
512,35,   Cole Whitt,53.882   ,14,2018
513,37,   J.J. Yeley,53.935   ,14,2018
514,2,   Kevin Harvick,50.903   ,14,2018
515,4,"   Martin Truex, Jr.",50.987   ,14,2018
516,6,   Kurt Busch,51.076   ,14,2018
517,8,   Ryan Newman,51.176   ,14,2018
518,10,   Denny Hamlin,51.197   ,14,2018
519,12,   Austin Dillon,51.520   ,14,2018
520,14,   Alex Bowman,51.579   ,14,2018
521,16,   William Byron,51.649   ,14,2018
522,18,   Daniel Suarez,51.690   ,14,2018
523,20,   Paul Menard,51.833   ,14,2018
524,22,   Kasey Kahne,52.024   ,14,2018
525,24,   A.J. Allmendinger,   ,14,2018
526,26,   Matt Kenseth,52.140   ,14,2018
527,28,   Cole Custer,52.197   ,14,2018
528,30,   Michael McDowell,52.703   ,14,2018
529,32,   Matt DiBenedetto,53.354   ,14,2018
530,34,   Aric Almirola,53.855   ,14,2018
531,36,   Gray Gaulding,53.927   ,14,2018
532,38,   Derrike Cope,54.753   ,14,2018
533,1,   Kurt Busch,35.405   ,15,2018
534,3,   Kyle Busch,35.447   ,15,2018
535,5,   Joey Logano,35.614   ,15,2018
536,7,"   Ricky Stenhouse, Jr.",35.774   ,15,2018
537,9,   Ryan Blaney,35.858   ,15,2018
538,11,   Ryan Newman,35.989   ,15,2018
539,13,   Chase Elliott,35.904   ,15,2018
540,15,   Paul Menard,35.941   ,15,2018
541,17,"   Martin Truex, Jr.",35.959   ,15,2018
542,19,   Matt Kenseth,36.035   ,15,2018
543,21,   Alex Bowman,36.054   ,15,2018
544,23,   Michael McDowell,36.116   ,15,2018
545,25,   A.J. Allmendinger,36.172   ,15,2018
546,27,   David Ragan,36.228   ,15,2018
547,29,   Kasey Kahne,36.372   ,15,2018
548,31,   Ty Dillon,36.564   ,15,2018
549,33,   Ross Chastain,37.081   ,15,2018
550,35,   B.J. McLeod,37.484   ,15,2018
551,37,   D.J. Kennington,38.319   ,15,2018
552,39,   Garrett Smithley,38.618   ,15,2018
553,2,   Brad Keselowski,35.439   ,15,2018
554,4,   Kevin Harvick,35.476   ,15,2018
555,6,   Aric Almirola,35.713   ,15,2018
556,8,   Erik Jones,35.796   ,15,2018
557,10,   Denny Hamlin,35.928   ,15,2018
558,12,   Clint Bowyer,36.039   ,15,2018
559,14,   William Byron,35.912   ,15,2018
560,16,   Austin Dillon,35.942   ,15,2018
561,18,   Chris Buescher,35.985   ,15,2018
562,20,   Jimmie Johnson,36.039   ,15,2018
563,22,   Daniel Suarez,36.064   ,15,2018
564,24,   Jamie McMurray,36.126   ,15,2018
565,26,   Kyle Larson,36.181   ,15,2018
566,28,   Bubba Wallace,36.262   ,15,2018
567,30,   Matt DiBenedetto,36.418   ,15,2018
568,32,   Corey LaJoie,37.030   ,15,2018
569,34,   Gray Gaulding,37.374   ,15,2018
570,36,   Landon Cassill,37.608   ,15,2018
